name,borough,cuisine,street,building,zipcode,coord_longitude,coord_latitude,grade1_date,grade1_score,grade2_date,grade2_score,comment
Restaurant_4,Staten Island,Japanese,Bedford Ave,7124,10699,-73.949189,40.885048,2014-05-09,2,2013-08-16,8,Would visit again.
Restaurant_5,Bronx,French,Astoria Blvd,8242,10549,-73.869478,40.630326,2014-09-01,3,2013-03-12,5,Amazing dishes!
Restaurant_6,Manhattan,Indian,5th Avenue,7866,10412,-73.805646,40.824481,2014-09-06,10,2013-11-11,10,Good experience.
Restaurant_7,Brooklyn,Vegan,Astoria Blvd,5790,11239,-73.938384,40.786677,2014-02-26,3,2013-03-27,5,Amazing dishes!
Restaurant_8,Bronx,Italian,5th Avenue,6482,10873,-73.974,40.829195,2014-02-18,4,2013-06-02,4,Amazing dishes!
Restaurant_9,Bronx,Vegan,5th Avenue,6009,11145,-73.921953,40.765721,2014-08-17,9,2013-01-17,6,Could improve service.
Restaurant_10,Brooklyn,Mexican,Broadway,1868,10313,-73.802591,40.837419,2014-06-21,3,2013-06-11,7,Could improve service.
Restaurant_11,Manhattan,Mexican,Bedford Ave,5567,11009,-73.859884,40.666474,2014-06-25,4,2013-06-02,5,Excellent!
Restaurant_12,Bronx,Chinese,Astoria Blvd,5747,11595,-73.817889,40.880083,2014-09-12,4,2013-08-11,1,Could improve service.
Restaurant_13,Bronx,Chinese,Bedford Ave,7386,10239,-73.875573,40.879541,2014-11-19,1,2013-09-05,1,Good experience.
Restaurant_14,Bronx,Chinese,Astoria Blvd,68,10262,-73.81967,40.725055,2014-01-14,6,2013-08-23,6,Could improve service.
Restaurant_15,Manhattan,Mexican,Flatbush Ave,3589,11236,-73.903864,40.823584,2014-07-07,3,2013-10-06,6,Good experience.
Restaurant_16,Brooklyn,Japanese,Flatbush Ave,2125,11141,-73.95339,40.656789,2014-08-11,6,2013-01-03,2,Good experience.
Restaurant_17,Staten Island,Japanese,5th Avenue,622,10404,-73.917666,40.798753,2014-02-05,8,2013-01-09,10,Could improve service.
Restaurant_18,Bronx,Mexican,Flatbush Ave,4491,10963,-73.837759,40.789242,2014-05-03,6,2013-09-18,5,Would visit again.
Restaurant_19,Staten Island,Chinese,Lexington Avenue,702,11333,-73.890238,40.840797,2014-11-14,7,2013-02-01,3,Amazing dishes!
Restaurant_20,Manhattan,Italian,Lexington Avenue,391,11340,-73.897279,40.825348,2014-01-19,7,2013-08-11,6,Excellent!
Restaurant_21,Manhattan,French,5th Avenue,8460,11560,-73.982135,40.871807,2014-12-04,9,2013-04-05,6,Excellent!
Restaurant_22,Brooklyn,Indian,Astoria Blvd,9859,11083,-73.958495,40.668624,2014-11-04,6,2013-04-18,2,Excellent!
Restaurant_23,Queens,Japanese,Astoria Blvd,6243,10395,-73.91889,40.845609,2014-12-27,6,2013-11-25,3,Could improve service.
Restaurant_24,Manhattan,French,Broadway,5609,11109,-73.953251,40.620684,2014-01-03,6,2013-01-07,2,Could improve service.
Restaurant_25,Manhattan,Greek,5th Avenue,5018,10769,-73.809191,40.671595,2014-08-05,7,2013-06-15,10,Good experience.
Restaurant_26,Bronx,Mexican,5th Avenue,1766,10520,-73.937838,40.771117,2014-11-07,7,2013-08-14,9,Would visit again.
Restaurant_27,Queens,Caribbean,Astoria Blvd,7173,11111,-73.80591,40.871766,2014-06-07,5,2013-04-23,8,Would visit again.
Restaurant_28,Staten Island,Thai,Flatbush Ave,5924,11608,-73.903871,40.85659,2014-04-13,10,2013-10-19,5,Amazing dishes!
Restaurant_29,Brooklyn,Indian,Broadway,7861,11506,-73.858015,40.799921,2014-05-04,8,2013-07-13,3,Good experience.
Restaurant_30,Bronx,Thai,Broadway,8045,11360,-73.936739,40.888572,2014-05-21,6,2013-11-23,9,Amazing dishes!
